OUAGADOUGOU|Burkina Faso|Capital of Burkina Faso
MAPUTO|Mozambique|Capital of Mozambique
PHNOMPENH|Cambodia|Capital of Cambodia
KUALALUMPUR|Malaysia|Capital of Malaysia
WARSAW|Poland|Capital of Poland
COPENHAGEN|Denmark|Capital of Denmark
KINGSTON|Jamaica|Capital of Jamaica
MALABO|Equatorial Guinea|Capital of Equatorial Guinea
MINSK|Belarus|Capital of Belarus
TARAWA|Kiribati|Capital of Kiribati
WASHINGTON|United States of America|Capital of United States of America
KABUL|Afghanistan|Capital of Afghanistan
DAKAR|Senegal|Capital of Senegal
ASMARA|Eritrea|Capital of Eritrea
LUSAKA|Zambia|Capital of Zambia
BELMOPAN|Belize|Capital of Belize
FREETOWN|Sierra Leone|Capital of Sierra Leone
VILNIUS|Lithuania|Capital of Lithuania
MOSCOW|Russia|Capital of Russia
NDJAMENA|Chad|Capital of Chad
VATICANCITY|Vatican City|Capital of Vatican City
PORTAUPRINCE|Haiti|Capital of Haiti
PODGORICA|Montenegro|Capital of Montenegro
MAJURO|Marshall Islands|Capital of Marshall Islands
DJIBOUTI|Djibouti|Capital of Djibouti
STOCKHOLM|Sweden|Capital of Sweden
CANBERRA|Australia|Capital of Australia
ASUNCION|Paraguay|Capital of Paraguay
COLOMBO|Sri Lanka|Capital of Sri Lanka
SUCRE|Bolivia|Capital of Bolivia
ABUDHABI|United Arab Emirates|Capital of United Arab Emirates
ATHENS|Greece|Capital of Greece
BAGHDAD|Iraq|Capital of Iraq
BUCHAREST|Romania|Capital of Romania
BANGKOK|Thailand|Capital of Thailand
BELGRADE|Serbia|Capital of Serbia
